OA11CD,easting,northing
E00000889,526675.536,190093.799
E00000809,528081.227,192954.872
E00000888,526383.582,190195.768
E00001118,521224.071,193505.218
E00001199,523393.75,189362.379
E00001119,520145.197,193570.19
E00001198,523205.789,189472.71
E00000666,520160.343,190595.387
E00000667,520567.504,190585.146
E00000664,519942.897,190837.571
E00000665,521042.049,190593.691
E00000662,520686.641,190688.276
E00000660,520793.016,190752.688
E00000661,520889.198,190610.301
E00001366,525094.101,191922.519
E00001367,525704.779,194148.171
E00001364,524882.396,192276.793
E00001365,525267.522,192237.511
E00001362,525023.37,192414.662
E00000668,523859.809,186161.333
E00001363,525098.435,192089.535
E00174906,526304,191993
E00174909,526642,190976
E00001162,523503,189116
E00174913,521895,190042
E00001276,523533.868,191692.858
E00001274,521602.981,191858.18
E00001275,521501.917,191952.676
E00001272,523830.062,191685.429
E00001273,523347.611,191905.979
E00001270,521478.754,192129.326
E00001271,523634.223,192129.812
E00001278,523270.677,191750.947
E00001279,523925.621,191821.368
E00001226,523884.167,196740.663
E00001227,525862.965,196735.388
E00001224,524167.672,196844.03
E00001225,523185.238,196544.937
E00001222,524064.009,196957.816
E00001223,524644.327,196852.88
E00001221,523840.441,196945.028
E00001228,524234.165,196782.015
E00001229,525416.049,196674.481
E00001216,525583.486,196903.875
E00001297,521734.736,193101.273
E00001217,523959.655,197058.023
E00001296,521959.902,193279.983
E00001214,524478.286,196992.552
E00001295,522316.763,192765.257
E00001215,524776.266,197516.073
E00001294,522195.809,190810.916
E00001212,525916.941,196273.835
E00001293,522236.1,190999.876
E00001213,524687.881,197906.296
E00001292,523775.923,191047.232
E00001210,525744.939,196717.517
E00001291,524010.19,191175.943
E00001290,522234.23,191291.134
E00001218,523448.591,196734.306
E00001299,521038.203,192914.938
E00001219,524192.392,197004.601
E00001298,521411.156,193075.749
E00001466,526021.053,190454.195
E00001467,525930.62,192311.994
E00001464,526130.934,190572.765
E00001465,525554.026,190651.85
E00001462,525901.914,190541.436
E00001463,526199.53,190478.547
E00001460,525973.688,190765.362
E00001461,525720.889,190723.561
E00001468,526259.409,192230.164
E00001469,526110.735,192245.784
E00001456,525424.257,190718.049
E00001457,525558.364,190922.685
E00001454,525818.78,191325.987
