oa11cd,num_500m,num_1km,mindist
E00000950,0,0,1
E00000951,0,0,1
E00000952,0,0,1
E00000953,0,0,1
E00000954,0,0,1
E00000955,0,0,1
E00000956,0,0,1
E00000957,0,0,1
E00000958,0,0,1
E00000959,0,0,1
E00000960,0,0,1
E00000961,0,0,1
E00000962,0,0,1
E00000963,0,0,1
E00000964,0,0,1
E00000965,0,0,1
E00000966,0,0,1
E00000967,0,0,1
E00000968,0,0,1
E00000969,0,0,1
E00000970,0,0,1
E00000971,0,0,1
E00000972,0,0,1
E00000973,0,0,1
E00000974,0,0,1
E00000975,0,0,1
E00000976,0,0,1
E00000977,0,0,1
E00000978,0,0,1
E00000979,0,0,1
E00000980,0,0,1
E00000981,0,0,1
E00000982,0,0,1
E00000983,0,0,1
E00000984,0,0,1
E00000985,0,0,1
E00000986,0,0,1
E00000987,0,0,1
E00000988,0,0,1
E00000989,0,0,1
E00000990,0,0,1
E00000991,0,0,1
E00000992,0,0,1
E00000993,0,0,1
E00000994,0,0,1
E00000995,0,0,1
E00000996,0,0,1
E00000997,0,0,1
E00000998,0,0,1
E00000999,0,0,1
E00001000,0,0,1
E00001001,0,0,1
E00001002,0,0,1
E00001003,0,0,1
E00001004,0,0,1
E00001005,0,0,1
E00001006,0,0,1
E00001007,0,0,1
E00001008,0,0,1
E00001009,0,0,1
E00001010,0,0,1
E00001011,0,0,1
E00001012,0,0,1
E00001013,0,0,1
E00001014,0,0,1
E00001015,0,0,1
E00001016,0,0,1
E00001017,0,0,1
E00001018,0,0,1
E00001019,0,0,1
E00001020,0,0,1
E00001021,0,0,1
E00001022,0,0,1
E00001023,0,0,1
E00001024,0,0,1
E00001025,0,0,1
E00001026,0,0,1
E00001027,0,0,1
E00001028,0,0,1
E00001029,0,0,1
E00001030,0,0,1
E00001031,0,0,1
E00001032,0,0,1
E00001033,0,0,1
E00001034,0,0,1
E00001035,0,0,1
E00001036,0,0,1
E00001037,0,0,1
E00001038,0,0,1
E00001039,0,0,1
E00001040,0,0,1
E00001041,0,0,1
E00001042,0,0,1
E00001043,0,0,1
E00001044,0,0,1
E00001045,0,0,1
E00001046,0,0,1
E00001047,0,0,1
E00001048,0,0,1
E00001049,0,0,1
E00001050,0,0,1
E00001051,0,0,1
E00001052,0,0,1
E00001053,0,0,1
E00001054,0,0,1
E00001055,0,0,1
E00001056,0,0,1
E00001057,0,0,1
E00001058,0,0,1
E00001059,0,0,1
E00001060,0,0,1
E00001061,0,0,1
E00001062,0,0,1
E00001063,0,0,1
E00001064,0,0,1
E00001065,0,0,1
E00001066,0,0,1
E00001067,0,0,1
E00001068,0,0,1
E00001069,0,0,1
E00001070,0,0,1
E00001071,0,0,1
E00001072,0,0,1
E00001073,0,0,1
E00001074,0,0,1
E00001075,0,0,1
E00001076,0,0,1
E00001077,0,0,1
E00001078,0,0,1
E00001079,0,0,1
E00001080,0,0,1
E00001081,0,0,1
E00001082,0,0,1
E00001083,0,0,1
E00001084,0,0,1
E00001085,0,0,1
E00001086,0,0,1
E00001087,0,0,1
E00001088,0,0,1
E00001089,0,0,1
E00001090,0,0,1
E00001091,0,0,1
E00001092,0,0,1
E00001093,0,0,1
E00001094,0,0,1
E00001095,0,0,1
E00001096,0,0,1
E00001097,0,0,1
E00001098,0,0,1
E00001099,0,0,1
E00001100,0,0,1
E00001101,0,0,1
E00001102,0,0,1
E00001103,0,0,1
E00001104,0,0,1
E00001105,0,0,1
E00001106,0,0,1
E00001107,0,0,1
E00001108,0,0,1
E00001109,0,0,1
E00001110,0,0,1
E00001111,0,0,1
E00001112,0,0,1
E00001113,0,0,1
E00001114,0,0,1
E00001115,0,0,1
E00001116,0,0,1
E00001117,0,0,1
E00001118,0,0,1
E00001119,0,0,1
E00001120,0,0,1
E00001121,0,0,1
E00001122,0,0,1
E00001123,0,0,1
E00001124,0,0,1
E00001125,0,0,1
E00001126,0,0,1
E00001127,0,0,1
E00001128,0,0,1
E00001129,0,0,1
E00001130,0,0,1
E00001131,0,0,1
E00001132,0,0,1
E00001133,0,0,1
E00001134,0,0,1
E00001135,0,0,1
E00001136,0,0,1
E00001137,0,0,1
E00001138,0,0,1
E00001139,0,0,1
E00001140,0,0,1
E00001141,0,0,1
E00001142,0,0,1
E00001143,0,0,1
E00001144,0,0,1
E00001145,0,0,1
E00001146,0,0,1
E00001147,0,0,1
E00001148,0,0,1
E00001149,0,0,1
E00001150,0,0,1
E00001151,0,0,1
E00001152,0,0,1
E00001153,0,0,1
E00001154,0,0,1
E00001155,0,0,1
E00001156,0,0,1
E00001157,0,0,1
E00001158,0,0,1
E00001159,0,0,1
E00001160,0,0,1
E00001161,0,0,1
E00001162,0,0,1
E00001163,0,0,1
E00001164,0,0,1
E00001165,0,0,1
E00001166,0,0,1
E00001167,0,0,1
E00001168,0,0,1
E00001169,0,0,1
E00001170,0,0,1
E00001171,0,0,1
E00001172,0,0,1
E00001173,0,0,1
E00001174,0,0,1
E00001175,0,0,1
E00001176,0,0,1
E00001177,0,0,1
E00001178,0,0,1
E00001179,0,0,1
E00001180,0,0,1
E00001181,0,0,1
E00001182,0,0,1
E00001183,0,0,1
E00001184,0,0,1
E00001185,0,0,1
E00001186,0,0,1
E00001187,0,0,1
E00001188,0,0,1
E00001189,0,0,1
E00001191,0,0,1
E00001192,0,0,1
E00001193,0,0,1
E00001194,0,0,1
E00001195,0,0,1
E00001196,0,0,1
E00001197,0,0,1
E00001198,0,0,1
E00001199,0,0,1
E00001200,0,0,1
E00001201,0,0,1
E00001202,0,0,1
E00001203,0,0,1
E00001204,0,0,1
E00001205,0,0,1
E00001206,0,0,1
E00001207,0,0,1
E00001208,0,0,1
E00001209,0,0,1
E00001210,0,0,1
E00001211,0,0,1
E00001212,0,0,1
E00001213,0,0,1
E00001214,0,0,1
E00001215,0,0,1
E00001216,0,0,1
E00001217,0,0,1
E00001218,0,0,1
E00001219,0,0,1
E00001220,0,0,1
E00001221,0,0,1
E00001222,0,0,1
E00001223,0,0,1
E00001224,0,0,1
E00001225,0,0,1
E00001226,0,0,1
E00001227,0,0,1
E00001228,0,0,1
E00001229,0,0,1
E00001230,0,0,1
E00001231,0,0,1
E00001232,0,0,1
E00001233,0,0,1
E00001234,0,0,1
E00001235,0,0,1
E00001236,0,0,1
E00001237,0,0,1
E00001238,0,0,1
E00001239,0,0,1
E00001240,0,0,1
E00001241,0,0,1
E00001242,0,0,1
E00001243,0,0,1
E00001244,0,0,1
E00001245,0,0,1
E00001246,0,0,1
E00001247,0,0,1
E00001248,0,0,1
E00001249,0,0,1
E00001250,0,0,1
E00001251,0,0,1
E00001252,0,0,1
E00001253,0,0,1
E00001254,0,0,1
E00001255,0,0,1
E00001256,0,0,1
E00001257,0,0,1
E00001258,0,0,1
E00001259,0,0,1
E00001260,0,0,1
E00001261,0,0,1
E00001262,0,0,1
E00001263,0,0,1
E00001265,0,0,1
E00001266,0,0,1
E00001267,0,0,1
E00001268,0,0,1
E00001269,0,0,1
E00001270,0,0,1
E00001271,0,0,1
E00001272,0,0,1
E00001273,0,0,1
E00001274,0,0,1
E00001275,0,0,1
E00001276,0,0,1
E00001277,0,0,1
E00001278,0,0,1
E00001279,0,0,1
E00001280,0,0,1
E00001281,0,0,1
E00001282,0,0,1
E00001283,0,0,1
E00001284,0,0,1
E00001285,0,0,1
E00001286,0,0,1
