startid,endid,routedist
E00174829,142,0.21226
E00167491,158,0.159751
E00020112,154,0.18664699999999998
E00007596,99,0.125039
E00015429,374,0.26516199999999995
E00176287,76,0.14413399999999998
E00013532,141,0.124131
E00005995,68,0.32196800000000003
E00004530,302,0.232242
E00006508,75,0.156529
E00020108,156,0.218105
E00002992,305,0.15569300000000003
E00006871,66,0.120382
E00176247,79,0.142617
E00006510,73,0.124366
E00018260,165,0.134463
E00020107,154,0.20112
E00176331,42,0.173934
E00015824,366,0.15749100000000002
E00015383,380,0.176175
E00022187,398,0.195408
E00175194,9,0.119588
E00023623,6,0.223473
E00019903,315,0.135304
E00004235,293,0.14649700000000002
E00012747,263,0.17230099999999998
E00003616,354,0.26954199999999995
E00021732,235,0.195466
E00015635,219,0.17901599999999998
E00005537,346,0.185189
E00022167,402,0.45533300000000004
E00016610,124,0.165152
E00015641,218,0.15294
E00021731,232,0.178807
E00006161,45,0.126768
E00004237,292,0.271867
E00011182,395,0.129188
E00009708,113,0.439764
E00020468,335,0.309238
E00016029,370,0.157924
E00007579,98,0.12390999999999999
E00017163,406,0.169097
E00176224,148,0.168317
E00004530,23,0.164297
E00006908,57,0.217998
E00016080,217,0.198333
E00013920,226,0.154934
E00024136,15,0.159537
E00012819,117,0.164048
E00176236,148,0.206421
E00004465,288,0.13907499999999998
E00022365,179,0.199476
E00176227,230,0.241562
E00017924,164,0.16533099999999998
E00004545,291,0.269098
E00020124,150,0.169456
E00175197,0,0.16159
E00019735,332,0.307404
E00009716,113,0.183958
E00015391,375,0.344488
E00012813,260,0.162193
E00008794,89,0.203624
E00017921,173,0.17361500000000002
E00015652,216,0.171329
E00019929,330,0.193662
E00015760,215,0.176647
E00021731,234,0.18549100000000002
E00011201,396,0.921694
E00004205,294,0.177309
E00019968,160,0.132526
E00006503,60,0.131721
E00023845,7,0.135963
E00006497,61,0.32719400000000004
E00013579,139,0.139602
E00023509,6,0.219385
E00004391,284,0.169149
E00008832,80,0.146977
E00004523,299,0.204571
E00008617,312,0.229767
E00005657,352,0.5173490000000001
E00021718,241,0.13008699999999998
E00016609,126,0.435789
E00006250,58,0.15949000000000002
E00004708,295,0.23113499999999998
E00008167,35,0.201715
E00000021,183,0.350988
E00016596,246,0.22872900000000002
E00000003,186,0.253517
E00020072,338,0.37247
E00005050,360,0.23516
E00008793,92,0.191268
E00166759,189,0.222739
E00020139,155,0.196082
E00176233,149,0.160644
E00020110,157,0.176407
E00005041,361,0.165554
E00006480,64,0.126588
E00005939,344,0.202677
E00019968,330,0.14578899999999997
E00022364,402,0.18013200000000001
E00004474,287,0.165383
E00004223,292,0.275689
E00016032,369,0.195346
E00022348,401,0.35448399999999997
E00013832,143,0.214631
E00004529,300,0.18399100000000002
E00021708,238,0.18941
E00013539,145,0.323978
E00016623,131,0.13305699999999998
E00012780,273,0.156808
E00022090,182,0.216918
E00020075,338,0.238425
E00021722,235,0.176887
E00020737,278,0.196024
E00174840,142,0.181761
E00008173,38,0.210649
E00008865,85,0.404916
E00013528,143,0.17091599999999998
E00007575,98,0.888809
